,Name,HEX,RGB
0,White,#FFFFFF,"rgb(100,100,100)"
1,Silver,#C0C0C0,"rgb(75,75,75)"
2,Gray,#808080,"rgb(50,50,50)"
3,Black,#000000,"rgb(0,0,0)"
4,Red,#FF0000,"rgb(100,0,0)"
5,Maroon,#800000,"rgb(50,0,0)"
6,Yellow,#FFFF00,"rgb(100,100,0)"
7,Olive,#808000,"rgb(50,50,0)"
8,Lime,#00FF00,"rgb(0,100,0)"
9,Green,#008000,"rgb(0,50,0)"
10,Aqua,#00FFFF,"rgb(0,100,100)"
11,Teal,#008080,"rgb(0,50,50)"
12,Blue,#0000FF,"rgb(0,0,100)"
13,Navy,#000080,"rgb(0,0,50)"
14,Fuchsia,#FF00FF,"rgb(100,0,100)"
15,Purple,#800080,"rgb(50,0,50)"
